,importance
meta_ridge_tfidf,0.13477418
project_quality_score,0.09585981
x_project_quality_technical_interview,0.063481055
meta_logit_ceiling,0.039081484
x_technical_interview_communication,0.03117561
matched_skill,0.029413033
skill_mean,0.02491208
real_client_project_count,0.020768775
skill_top2_mean,0.019101022
application_year,0.017897353
graduation_year,0.016975759
x_portfolio_github_repo_count,0.014737651
x_project_quality_portfolio,0.011409229
te_role_x_tier,0.011400083
x_cgpa_project_quality,0.011200604
skill_max,0.010629723
txt_has_eksik,0.010591486
x_technical_interview_hr_interview,0.009794966
txt_mentions_role,0.009383661
txt_first_contrast_pos,0.009208227
problem_solving_score,0.009036553
award_rate,0.008515236
x_project_quality_cv_quality,0.008409234
experience_total,0.00823849
skill_min,0.008197679
technical_interview_score,0.0078391
open_source_contribution_count,0.007630537
failed_courses_count,0.007341089
stars_total,0.0070181787
te_university_tier,0.0070068934
target_role,0.007000692
cloud_score,0.0069867014
te_target_role,0.0068296655
coding_score,0.0065540895
na_internship_duration_months,0.0064782896
teamwork_score,0.006395449
portfolio_score,0.0063631064
txt_neg_count,0.006314413
communication_score,0.006147793
github_repo_count,0.0060997303
devops_score,0.0058291033
cv_quality_score,0.0058278674
txt_pos_minus_neg,0.0057545146
github_avg_stars,0.0056648823
hackathon_awards,0.005616152
presentation_score,0.005596377
university_tier,0.005571018
x_project_quality_linkedin_profile,0.005520171
internship_duration_months,0.005436611
txt_has_sınırlı,0.005409921
x_english_exam_communication,0.005405107
cgpa,0.005379112
x_attendance_rate_cgpa,0.0052982504
bootcamp_count,0.0052926755
matched_skill_rank,0.0051625823
oss_per_repo,0.005146611
sql_score,0.005089081
applications_sent,0.0050541433
hr_interview_score,0.004838528
backend_score,0.0048353346
frontend_score,0.0046625123
txt_has_zorluk,0.004606067
hobby,0.0045640008
linkedin_profile_score,0.004521466
intern_months_per,0.004480001
hackathon_count,0.004439061
matched_minus_mean,0.0044266554
interviews_attended,0.0043968954
te_hobby,0.0042408877
txt_pos_count,0.0042360155
leadership_score,0.0042241057
internship_count,0.0042232648
data_structures_score,0.004218028
english_exam_score,0.004192607
machine_learning_score,0.00418966
certification_count,0.0041683256
txt_word_count,0.004088552
department,0.004029964
txt_char_count,0.003917343
txt_has_güçlü,0.0039025813
txt_contrast_count,0.0038831953
attendance_rate,0.0038781024
preferred_social_media_platform,0.0037789154
skill_specialization_gap,0.0037103463
skill_std,0.0036957555
te_department,0.0035366577
grad_age,0.003528873
interview_conversion,0.0035185437
txt_has_başarılı,0.0034917325
te_preferred_social_media_platform,0.003470615
age,0.0033599578
txt_has_dikkat_çekici,0.0032248273
txt_has_geliştirmesi_gereken,0.0032219205
na_count,0.0031168223
txt_has_etkileyici,0.0030629039
years_since_grad,0.003062163
txt_has_mükemmel,0.002832891
freelance_project_count,0.0027787094
txt_sent_count,0.0026963283
txt_has_engelliyor,0.0018492956
txt_has_olağanüstü,0.001517307
na_hr_interview_score,0.0014149664
txt_has_donanımlı,0.0009878057
na_linkedin_profile_score,0.00043539848
na_english_exam_score,0.00029117725
na_open_source_contribution_count,0.0
na_github_avg_stars,0.0
na_portfolio_score,0.0
txt_has_yetersiz,0.0
