student_id,fold
STU_000001,2
STU_000002,0
STU_000003,3
STU_000004,4
STU_000005,2
STU_000006,3
STU_000007,4
STU_000008,1
STU_000009,1
STU_000010,3
STU_000011,3
STU_000012,0
STU_000013,2
STU_000014,0
STU_000015,0
STU_000016,3
STU_000017,2
STU_000018,1
STU_000019,3
STU_000020,4
STU_000021,0
STU_000022,2
STU_000023,3
STU_000024,2
STU_000025,3
STU_000026,2
STU_000027,2
STU_000028,4
STU_000029,3
STU_000030,1
STU_000031,0
STU_000032,4
STU_000033,3
STU_000034,2
STU_000035,3
STU_000036,3
STU_000037,3
STU_000038,4
STU_000039,2
STU_000040,4
STU_000041,3
STU_000042,0
STU_000043,3
STU_000044,4
STU_000045,2
STU_000046,3
STU_000047,2
STU_000048,1
STU_000049,4
STU_000050,2
STU_000051,3
STU_000052,2
STU_000053,4
STU_000054,0
STU_000055,0
STU_000056,0
STU_000057,1
STU_000058,4
STU_000059,0
STU_000060,1
STU_000061,4
STU_000062,0
STU_000063,3
STU_000064,1
STU_000065,4
STU_000066,3
STU_000067,1
STU_000068,1
STU_000069,4
STU_000070,2
STU_000071,0
STU_000072,3
STU_000073,3
STU_000074,3
STU_000075,0
STU_000076,4
STU_000077,1
STU_000078,0
STU_000079,3
STU_000080,0
STU_000081,1
STU_000082,2
STU_000083,3
STU_000084,2
STU_000085,0
STU_000086,3
STU_000087,0
STU_000088,3
STU_000089,0
STU_000090,3
STU_000091,2
STU_000092,1
STU_000093,4
STU_000094,2
STU_000095,2
STU_000096,3
STU_000097,0
STU_000098,1
STU_000099,2
STU_000100,1
STU_000101,0
STU_000102,0
STU_000103,0
STU_000104,4
STU_000105,3
STU_000106,1
STU_000107,0
STU_000108,0
STU_000109,1
STU_000110,1
STU_000111,0
STU_000112,0
STU_000113,4
STU_000114,4
STU_000115,4
STU_000116,3
STU_000117,2
STU_000118,3
STU_000119,3
STU_000120,3
STU_000121,4
STU_000122,4
STU_000123,4
STU_000124,4
STU_000125,4
STU_000126,0
STU_000127,4
STU_000128,1
STU_000129,1
STU_000130,1
STU_000131,2
STU_000132,3
STU_000133,0
STU_000134,0
STU_000135,0
STU_000136,4
STU_000137,4
STU_000138,2
STU_000139,2
STU_000140,1
STU_000141,0
STU_000142,1
STU_000143,2
STU_000144,0
STU_000145,4
STU_000146,4
STU_000147,0
STU_000148,1
STU_000149,3
STU_000150,0
STU_000151,4
STU_000152,1
STU_000153,2
STU_000154,2
STU_000155,0
STU_000156,3
STU_000157,0
STU_000158,1
